# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle[...]
localhost.localdomain,594,2022-05-06 09:10:02 UTC,-1,23.83,0.01,11.47,0.72,0.00,63.97
localhost.localdomain,591,2022-05-06 09:20:01 UTC,-1,23.28,1.27,15.46,0.67,0.00,59.31
localhost.localdomain,594,2022-05-06 09:30:01 UTC,-1,0.37,0.00,0.45,0.01,0.00,99.18
localhost.localdomain,596,2022-05-06 09:40:01 UTC,-1,0.23,0.00,0.31,0.00,0.00,99.46
localhost.localdomain,596,2022-05-06 09:50:01 UTC,-1,0.17,0.00,0.26,0.01,0.00,99.56
localhost.localdomain,595,2022-05-06 10:00:01 UTC,-1,1.05,0.00,0.51,0.01,0.00,98.44
localhost.localdomain,597,2022-05-06 10:10:02 UTC,-1,0.30,0.00,0.25,0.00,0.00,99.44
localhost.localdomain,597,2022-05-06 10:20:01 UTC,-1,0.12,0.00,0.18,0.00,0.00,99.70
localhost.localdomain,596,2022-05-06 10:30:01 UTC,-1,0.23,0.00,0.36,0.01,0.00,99.41
localhost.localdomain,595,2022-05-06 10:40:01 UTC,-1,0.57,0.00,0.42,0.00,0.00,99.01
localhost.localdomain,595,2022-05-06 10:50:01 UTC,-1,0.30,0.00,0.30,0.01,0.00,99.40
localhost.localdomain,595,2022-05-06 11:00:01 UTC,-1,0.28,0.00,0.47,0.00,0.00,99.25
localhost.localdomain,594,2022-05-06 11:10:01 UTC,-1,0.23,0.00,0.37,0.00,0.00,99.39
localhost.localdomain,596,2022-05-06 11:20:01 UTC,-1,0.20,0.00,0.29,0.01,0.00,99.51
localhost.localdomain,595,2022-05-06 11:30:01 UTC,-1,0.23,0.00,0.31,0.00,0.00,99.46
localhost.localdomain,595,2022-05-06 11:40:01 UTC,-1,0.33,0.00,0.66,0.01,0.00,99.00
localhost.localdomain,595,2022-05-06 11:50:01 UTC,-1,0.45,0.00,0.38,0.00,0.00,99.17
localhost.localdomain,596,2022-05-06 12:00:01 UTC,-1,0.20,0.00,0.27,0.00,0.00,99.53
localhost.localdomain,595,2022-05-06 12:10:01 UTC,-1,0.26,0.00,0.37,0.01,0.00,99.36
localhost.localdomain,596,2022-05-06 12:20:01 UTC,-1,0.17,0.00,0.25,0.00,0.00,99.58
localhost.localdomain,595,2022-05-06 12:30:02 UTC,-1,0.19,0.00,0.24,0.00,0.00,99.56
localhost.localdomain,594,2022-05-06 12:40:01 UTC,-1,0.22,0.00,0.32,0.01,0.00,99.45
localhost.localdomain,596,2022-05-06 12:50:01 UTC,-1,0.21,0.00,0.29,0.00,0.00,99.50
localhost.localdomain,596,2022-05-06 13:00:01 UTC,-1,0.19,0.00,0.25,0.00,0.00,99.56
localhost.localdomain,595,2022-05-06 13:10:01 UTC,-1,0.20,0.00,0.26,0.00,0.00,99.53
localhost.localdomain,595,2022-05-06 13:20:01 UTC,-1,0.21,0.00,0.26,0.01,0.00,99.52
localhost.localdomain,596,2022-05-06 13:30:01 UTC,-1,0.18,0.00,0.25,0.00,0.00,99.57
localhost.localdomain,596,2022-05-06 13:40:01 UTC,-1,0.16,0.00,0.21,0.00,0.00,99.63
localhost.localdomain,595,2022-05-06 13:50:01 UTC,-1,0.68,0.24,1.00,0.01,0.00,98.07
localhost.localdomain,597,2022-05-06 14:00:02 UTC,-1,0.14,0.00,0.22,0.00,0.00,99.64
localhost.localdomain,596,2022-05-06 14:10:01 UTC,-1,0.18,0.00,0.26,0.00,0.00,99.55
localhost.localdomain,597,2022-05-06 14:20:01 UTC,-1,0.16,0.00,0.21,0.00,0.00,99.63
localhost.localdomain,595,2022-05-06 14:30:01 UTC,-1,0.18,0.00,0.23,0.00,0.00,99.59
localhost.localdomain,596,2022-05-06 14:40:01 UTC,-1,0.19,0.00,0.25,0.01,0.00,99.56
localhost.localdomain,596,2022-05-06 14:50:01 UTC,-1,0.19,0.00,0.26,0.00,0.00,99.55
localhost.localdomain,596,2022-05-06 15:00:01 UTC,-1,0.15,0.00,0.21,0.00,0.00,99.64
localhost.localdomain,596,2022-05-06 15:10:02 UTC,-1,0.27,0.00,0.35,0.01,0.00,99.37
localhost.localdomain,595,2022-05-06 15:20:01 UTC,-1,0.18,0.00,0.26,0.00,0.00,99.56
ctrl01,594,2022-05-07 08:20:01 UTC,-1,0.27,0.00,0.26,0.01,0.00,99.47
ctrl01,594,2022-05-07 08:30:01 UTC,-1,1.37,0.00,0.77,0.01,0.00,97.85
ctrl01,596,2022-05-07 08:40:01 UTC,-1,0.18,0.00,0.22,0.01,0.00,99.60
ctrl01,595,2022-05-07 08:50:02 UTC,-1,0.13,0.00,0.18,0.01,0.00,99.69
ctrl01,588,2022-05-07 09:00:01 UTC,-1,1.23,0.00,1.83,0.01,0.00,96.94
ctrl01,571,2022-05-07 09:10:01 UTC,-1,2.84,0.00,3.15,0.09,0.00,93.92
